k	rep	MSE
1	1	1.0817728589110378
2	1	0.9204464465000446
3	1	0.7527271414218911
4	1	0.707324881619122
5	1	0.674875778776871
6	1	0.6429313295646133
7	1	0.6172973830842386
8	1	0.5935674269625812
9	1	0.5704517792366719
10	1	0.5661440689149627
11	1	0.5425688557222399
12	1	0.5348512808139405
13	1	0.5255122750199791
14	1	0.5177726064301256
15	1	0.503764342446486
16	1	0.49731206313967014
17	1	0.4926062446264967
18	1	0.4783645084741984
19	1	0.47724586821022774
20	1	0.4723883081385891
21	1	0.4640185103703984
22	1	0.4631458949288484
23	1	0.4567843378173713
24	1	0.46106207836782565
25	1	0.44723765394620657
26	1	0.45000064532494677
27	1	0.4407875545951989
28	1	0.43442874258469066
29	1	0.447399941307154
30	1	0.43748436971750587
31	1	0.43241113023808286
32	1	0.4323067792055509
33	1	0.4340288551043769
34	1	0.4243351558443832
35	1	0.42406401782242537
36	1	0.42775873629538996
37	1	0.42506829324319273
38	1	0.4322177491247954
39	1	0.41954477550274977
40	1	0.4283653518047245
41	1	0.4215104219799325
42	1	0.4221256395127011
43	1	0.42408924434008355
44	1	0.41517174574956844
45	1	0.4113155494419048
46	1	0.41759220321964297
47	1	0.4127187510084805
48	1	0.40801550711508416
49	1	0.4071967188758822
50	1	0.4119582388752329
1	2	1.0890024160452894
2	2	0.9236444935027074
3	2	0.7506323483142967
4	2	0.7057482580073329
5	2	0.6704998661248702
6	2	0.643866101251177
7	2	0.6159148572935604
8	2	0.59348092950428
9	2	0.5654309747324305
10	2	0.5607674058951256
11	2	0.5438185623549823
12	2	0.5322679762852079
13	2	0.5212854625650379
14	2	0.5165536497973294
15	2	0.502941535118981
16	2	0.4972010525710116
17	2	0.4921732911755898
18	2	0.48247492573694506
19	2	0.4761522476051361
20	2	0.47564013333051447
21	2	0.4621378592710667
22	2	0.46306621784888913
23	2	0.45595253252227275
24	2	0.4554006980512325
25	2	0.4496324667166146
26	2	0.4501149562736048
27	2	0.441130737668102
28	2	0.43967402569552594
29	2	0.4449562233982141
30	2	0.43726687806102077
31	2	0.4334279979642971
32	2	0.43512222989732413
33	2	0.4319840345315791
34	2	0.4303419557871881
35	2	0.4323818913910623
36	2	0.43217085652993664
37	2	0.4251656485343538
38	2	0.4286582399102625
39	2	0.421041586075404
40	2	0.42242725460505326
41	2	0.42293003782576477
42	2	0.42059429733829284
43	2	0.4221714778687135
44	2	0.4172242613096076
45	2	0.4208617450570908
46	2	0.4201913833472388
47	2	0.4193193576661913
48	2	0.4212124966540591
49	2	0.4216370445923886
50	2	0.4113761982807459
1	3	1.070604512524159
2	3	0.9117938192639313
3	3	0.7366832655192695
4	3	0.6884660047894664
5	3	0.6560321853944495
6	3	0.6269933941386504
7	3	0.6008132298186629
8	3	0.5821843859840947
9	3	0.5546913876438853
10	3	0.54970781809456
11	3	0.5324375270167961
12	3	0.5186426730570819
13	3	0.508528965263243
14	3	0.5041733009479477
15	3	0.49207153658083486
16	3	0.48140857546486
17	3	0.47916773630675097
18	3	0.4690593033682743
19	3	0.4668031402745688
20	3	0.46089683675339116
21	3	0.4503644992823582
22	3	0.45376373145386667
23	3	0.44506522514954777
24	3	0.44814002085455906
25	3	0.4395402607196605
26	3	0.43627186296618264
27	3	0.4291529347046097
28	3	0.42866756322770455
29	3	0.4347951632699126
30	3	0.4301411554889393
31	3	0.41994278807228647
32	3	0.4296201489537731
33	3	0.42934403152137196
34	3	0.42129747432523795
35	3	0.4211079195243923
36	3	0.4169343329989484
37	3	0.4218627513272795
38	3	0.4208428502049724
39	3	0.41501216490582415
40	3	0.4171719566476593
41	3	0.4125514178857302
42	3	0.4129857157992975
43	3	0.4104040443476912
44	3	0.4093986231413937
45	3	0.40830201307571706
46	3	0.4069414051092735
47	3	0.40707114260846783
48	3	0.41425066881670763
49	3	0.4041288197612803
50	3	0.40898451925872936
